name,direction,number,q1,q2,q3,q4,q5
Simmons Hall,W,79,FALSE,TRUE,TRUE,TRUE,TRUE
Bush Building,,13,TRUE,FALSE,FALSE,FALSE,FALSE
Ashdown House,NW,35,FALSE,TRUE,FALSE,TRUE,TRUE
Ray and Maria Stata Center,,32,TRUE,FALSE,TRUE,FALSE,FALSE
MIT Sloan,E,62,TRUE,TRUE,TRUE,FALSE,FALSE
Stratton Student Center,W,20,FALSE,TRUE,FALSE,FALSE,FALSE
Zesiger Sports and Fitness Center,W,35,FALSE,TRUE,FALSE,FALSE,FALSE
Johnson Athletics Center,W,34,FALSE,TRUE,FALSE,FALSE,FALSE
Rockwell Cage,W,33,FALSE,TRUE,FALSE,FALSE,FALSE
Du Pont Athletic Center,W,32,FALSE,TRUE,FALSE,FALSE,FALSE
Du Pont Athletic Gymnasium,W,31,FALSE,TRUE,FALSE,FALSE,FALSE
Metropolitan Storage Warehouse,W,41,FALSE,TRUE,FALSE,TRUE,FALSE
New Vassar,W,46,FALSE,TRUE,FALSE,TRUE,TRUE
Heinz Building,W,59,FALSE,TRUE,FALSE,TRUE,FALSE
The David H. Koch Childcare Center,W,64,FALSE,TRUE,FALSE,TRUE,FALSE
Graduate Junction,W,87,FALSE,TRUE,TRUE,TRUE,TRUE
Graduate Junction,W,88,FALSE,TRUE,TRUE,TRUE,TRUE
Theatre Arts,W,97,FALSE,TRUE,FALSE,TRUE,FALSE
Campus Police,W,91,FALSE,TRUE,FALSE,FALSE,FALSE
Westgate (Family Housing),W,85,FALSE,TRUE,TRUE,FALSE,TRUE
Tang Hall,W,84,FALSE,TRUE,TRUE,FALSE,TRUE
Next House,W,71,FALSE,TRUE,FALSE,FALSE,TRUE
New Hosue,W,70,FALSE,TRUE,FALSE,FALSE,TRUE
MacGregor House,W,61,FALSE,TRUE,TRUE,FALSE,TRUE
Burton-Conner House,W,51,FALSE,TRUE,FALSE,FALSE,TRUE
Richard J. Resch Boathouse,W,08,FALSE,TRUE,FALSE,FALSE,FALSE
Barker House,W,07,FALSE,TRUE,TRUE,FALSE,TRUE
Green Hall,W,05,FALSE,TRUE,FALSE,FALSE,TRUE
McCormick Hall,W,04,FALSE,TRUE,TRUE,FALSE,TRUE
Fariborz Maseeh Hall,W,01,FALSE,TRUE,TRUE,FALSE,TRUE
"MIT Board of
Religious Activities Center",W,11,FALSE,TRUE,FALSE,FALSE,FALSE
Carr Indoor Tennis Facility,W,53,FALSE,TRUE,FALSE,FALSE,FALSE
Edward and Joyce Linde Music Building,W,18,FALSE,TRUE,FALSE,FALSE,FALSE
Kresge Auditorium,W,16,FALSE,TRUE,FALSE,FALSE,FALSE
Chapel,W,15,FALSE,TRUE,FALSE,FALSE,FALSE
Sidney Pacific,NW,86,FALSE,TRUE,TRUE,TRUE,TRUE
The Warehouse,NW,30,FALSE,TRUE,FALSE,TRUE,TRUE
Plasma Science & Fusion Center,NW,21,FALSE,TRUE,FALSE,TRUE,FALSE
Plasma Science & Fusion Center (LIGO),NW,22,FALSE,TRUE,FALSE,TRUE,FALSE
Plasma Science & Fusion Center,NW,17,FALSE,TRUE,FALSE,TRUE,FALSE
Plasma Science & Fusion Center,NW,16,FALSE,TRUE,FALSE,TRUE,FALSE
Edgerton House,NW,10,FALSE,TRUE,FALSE,TRUE,TRUE
Random Hall,NW,61,FALSE,TRUE,FALSE,TRUE,TRUE
Albany St Generator Shelter,NW,20,FALSE,TRUE,FALSE,TRUE,FALSE
Francis Bitter Magnet Lab,NW,15,FALSE,TRUE,FALSE,TRUE,FALSE
Francis Bitter Magnet Lab,NW,14,FALSE,TRUE,FALSE,TRUE,FALSE
Library Storage Annex,N,57,TRUE,TRUE,FALSE,TRUE,FALSE
Morningside Academy for Design,N,52,TRUE,TRUE,FALSE,TRUE,FALSE
High Voltage Research Lab,N,10,TRUE,TRUE,FALSE,TRUE,FALSE
Cooling Tower & Oil Reserve,N,16,TRUE,TRUE,FALSE,TRUE,FALSE
Superconducting Test Facility,N,09,TRUE,TRUE,FALSE,TRUE,FALSE
Building 41,,41,TRUE,FALSE,FALSE,TRUE,FALSE
Dickson Cogeneration Plant,,42,TRUE,FALSE,FALSE,TRUE,FALSE
Power Plant Annex,,43,TRUE,FALSE,FALSE,TRUE,FALSE
Schwarzman College of Computing,,45,TRUE,FALSE,TRUE,TRUE,FALSE
Brain and Cognitive Sciences (BCS),,46,TRUE,FALSE,TRUE,TRUE,FALSE
Parsons Laboratory,,48,TRUE,FALSE,FALSE,TRUE,FALSE
600 Technology Square,NE,49,TRUE,TRUE,FALSE,TRUE,FALSE
700 Technology Square,NE,48,TRUE,TRUE,FALSE,TRUE,FALSE
500 Technology Square,NE,47,TRUE,TRUE,FALSE,TRUE,FALSE
300 Technology Square,NE,45,TRUE,TRUE,FALSE,TRUE,FALSE
Building NE36,NE,36,TRUE,TRUE,FALSE,TRUE,FALSE
Building E94,E,94,TRUE,TRUE,FALSE,FALSE,FALSE
255 Main Street,NE,18,TRUE,TRUE,TRUE,FALSE,FALSE
One Broadway,E,70,TRUE,TRUE,TRUE,FALSE,FALSE
Building E90,E,90,TRUE,TRUE,FALSE,FALSE,FALSE
Sloan Laboratory,,35,TRUE,FALSE,FALSE,FALSE,FALSE
Guggenheim Laboratory,,33,TRUE,FALSE,FALSE,FALSE,FALSE
Wright Brothers Wind Tunnel,,17,TRUE,FALSE,FALSE,FALSE,FALSE
Samuel Tak Lee Building,,09,TRUE,FALSE,FALSE,FALSE,FALSE
McNair Building,,37,TRUE,FALSE,TRUE,FALSE,FALSE
Sloan Laboratories,,31,TRUE,FALSE,FALSE,FALSE,FALSE
Brown Building,,39,TRUE,FALSE,TRUE,FALSE,FALSE
Fairchild Building,,38,TRUE,FALSE,TRUE,FALSE,FALSE
EG&G Education Center,,34,TRUE,FALSE,FALSE,FALSE,FALSE
Fairchild Building,,36,TRUE,FALSE,TRUE,FALSE,FALSE
Building 24,,24,TRUE,FALSE,TRUE,FALSE,FALSE
Wang Fitness Center and Alumni Pool,,57,TRUE,FALSE,FALSE,FALSE,FALSE
Compton Laboratories,,26,TRUE,FALSE,TRUE,FALSE,FALSE
Lisa T. Su Building,,12,TRUE,FALSE,TRUE,FALSE,FALSE
Pierce Laboratory,,01,TRUE,FALSE,FALSE,FALSE,FALSE
Pratt School,,05,TRUE,FALSE,FALSE,FALSE,FALSE
Maclaurin Buildings,,03,TRUE,FALSE,FALSE,FALSE,FALSE
Rogers Building,,07,TRUE,FALSE,FALSE,FALSE,FALSE
Homberg Building,,11,TRUE,FALSE,FALSE,FALSE,FALSE
Maclaurin Buildings,,10,TRUE,FALSE,TRUE,FALSE,FALSE
The Simons Building,,02,TRUE,FALSE,FALSE,FALSE,FALSE
Maclaurin Buildings,,04,TRUE,FALSE,FALSE,FALSE,FALSE
Eastman Laboratories,,06,TRUE,FALSE,FALSE,FALSE,FALSE
Building 8,,08,TRUE,FALSE,FALSE,FALSE,FALSE
Dorrance Building,,16,TRUE,FALSE,TRUE,FALSE,FALSE
Whitaker Building,,56,TRUE,FALSE,TRUE,FALSE,FALSE
Dreyfus Building,,18,TRUE,FALSE,FALSE,FALSE,FALSE
Hayden Memorial Library,,14,TRUE,FALSE,FALSE,FALSE,FALSE
Walker Memorial,,50,TRUE,FALSE,FALSE,FALSE,FALSE
Wood Sailing Pavilion,,51,TRUE,FALSE,FALSE,FALSE,FALSE
Green Building,,54,TRUE,FALSE,TRUE,FALSE,FALSE
Tina and Hamid Moghadam Building,,55,TRUE,FALSE,FALSE,FALSE,FALSE
Landau Building,,66,TRUE,FALSE,FALSE,FALSE,FALSE
Koch Biology Building,,68,TRUE,FALSE,TRUE,FALSE,FALSE
The David H. Koch Institute,,76,TRUE,FALSE,TRUE,FALSE,FALSE
"East Campus, West",,62,TRUE,FALSE,FALSE,FALSE,TRUE
"East Campus, East",,64,TRUE,FALSE,FALSE,FALSE,TRUE
Gray House,E,01,TRUE,TRUE,FALSE,FALSE,TRUE
70 Amherst Street,E,02,TRUE,TRUE,FALSE,FALSE,TRUE
Media Lab,E,14,TRUE,TRUE,TRUE,FALSE,FALSE
Wiesner Building,E,15,TRUE,TRUE,FALSE,FALSE,FALSE
Mudd Building,E,17,TRUE,TRUE,TRUE,FALSE,FALSE
Ford Building,E,18,TRUE,TRUE,TRUE,FALSE,FALSE
Ford Building,E,19,TRUE,TRUE,TRUE,FALSE,FALSE
Whitaker College,E,25,TRUE,TRUE,TRUE,FALSE,FALSE
MIT Health,E,23,TRUE,TRUE,FALSE,FALSE,FALSE
MIT Museum,E,28,TRUE,TRUE,TRUE,FALSE,FALSE
MIT Welcome Center,E,38,TRUE,TRUE,FALSE,FALSE,FALSE
Site 4,E,37,TRUE,TRUE,TRUE,FALSE,TRUE
Muckley Building,E,40,TRUE,TRUE,FALSE,FALSE,FALSE
Tang Center,E,51,TRUE,TRUE,FALSE,FALSE,FALSE
Hermann Building,E,53,TRUE,TRUE,FALSE,FALSE,FALSE
Arthur D Little Building,E,60,TRUE,TRUE,FALSE,FALSE,FALSE